RUN	KeycloakLoginSimulator	keycloakloginsimulator	1591938312879	 	3.3.1
USER	Users	1	START	1591938314497	1591938314497
USER	Users	2	START	1591938314695	1591938314695
USER	Users	3	START	1591938314891	1591938314891
USER	Users	4	START	1591938315090	1591938315090
REQUEST	2		First unauthenticated request	1591938314695	1591938315141	OK	 
USER	Users	5	START	1591938315293	1591938315293
USER	Users	6	START	1591938315490	1591938315490
REQUEST	2		Login for basic user	1591938315295	1591938315500	OK	 
REQUEST	4		First unauthenticated request	1591938315091	1591938315543	OK	 
REQUEST	2		Logout basic user	1591938315503	1591938315596	OK	 
REQUEST	2		Second unauthenticated request	1591938315597	1591938315737	OK	 
USER	Users	7	START	1591938315741	1591938315741
REQUEST	5		First unauthenticated request	1591938315294	1591938315772	OK	 
USER	Users	8	START	1591938315993	1591938315993
REQUEST	4		Login for basic user	1591938315546	1591938316129	OK	 
USER	Users	9	START	1591938316243	1591938316243
REQUEST	4		Logout basic user	1591938316131	1591938316335	OK	 
REQUEST	5		Login for basic user	1591938315774	1591938316385	OK	 
REQUEST	8		First unauthenticated request	1591938315994	1591938316409	OK	 
REQUEST	7		First unauthenticated request	1591938315741	1591938316459	OK	 
REQUEST	4		Second unauthenticated request	1591938316336	1591938316461	OK	 
REQUEST	5		Logout basic user	1591938316386	1591938316467	OK	 
REQUEST	6		First unauthenticated request	1591938315491	1591938316488	OK	 
USER	Users	10	START	1591938316492	1591938316492
REQUEST	1		First unauthenticated request	1591938314548	1591938316531	OK	 
REQUEST	2		Login for realm admin	1591938315741	1591938316533	OK	 
REQUEST	3		First unauthenticated request	1591938314893	1591938316533	OK	 
REQUEST	5		Second unauthenticated request	1591938316468	1591938316561	OK	 
REQUEST	8		Login for basic user	1591938316412	1591938316642	OK	 
USER	Users	11	START	1591938316721	1591938316721
REQUEST	9		First unauthenticated request	1591938316244	1591938316747	OK	 
REQUEST	8		Logout basic user	1591938316644	1591938316771	OK	 
REQUEST	4		Login for realm admin	1591938316464	1591938316775	OK	 
REQUEST	2		Logout realm admin	1591938316535	1591938316839	OK	 
USER	Users	2	END	1591938314695	1591938316844
REQUEST	5		Login for realm admin	1591938316563	1591938316845	OK	 
REQUEST	8		Second unauthenticated request	1591938316772	1591938316874	OK	 
REQUEST	10		First unauthenticated request	1591938316493	1591938316911	OK	 
REQUEST	4		Logout realm admin	1591938316777	1591938316929	OK	 
USER	Users	4	END	1591938315090	1591938316931
REQUEST	5		Logout realm admin	1591938316846	1591938316933	OK	 
USER	Users	5	END	1591938315293	1591938316934
USER	Users	12	START	1591938316970	1591938316970
REQUEST	9		Login for basic user	1591938316749	1591938317176	OK	 
